State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Punjab,Barnala,1,596294,200000,1,298147,22,33,0.035315595,0.035315595,0,0.528252476
Punjab,Batala,1,596294,200000,1,298147,22,36,0.035315595,0.035315595,0,0.528252476
Punjab,Bathinda,2,1388525,200000,1,694262.5,22,37,0.082516037,0.082516037,0.015625,0.562887829
Punjab,Fategharh Sahib,1,1388525,200000,1,694262.5,22,89,0.082516037,0.082516037,0,0.566012829
Punjab,Fazilka,1,1388525,200000,1,694262.5,22,90,0.082516037,0.082516037,0,0.566012829
Punjab,Gurdaspur,1,2299026,200000,1,1149513,22,106,0.136762903,0.136762903,0,0.609410323
Punjab,Hoshiarpur,1,2299026,200000,1,1149513,22,119,0.136762903,0.136762903,0,0.609410323
Punjab,Jalandhar,7,2193590,200000,1,1096795,22,129,0.130481117,0.130481117,0.09375,0.585634894
Punjab,Kapurthala,1,98916,200000,1,49458,22,147,0.005682241,0.005682241,0,0.504545793
Punjab,Ludhiana,8,3498739,200000,1,1749369.5,22,173,0.208240772,0.208240772,0.109375,0.644717618
Punjab,Moga,1,3498739,200000,1,1749369.5,22,187,0.208240772,0.208240772,0,0.666592618
Punjab,Mohali,3,994628,200000,1,497314,22,188,0.059047992,0.059047992,0.03125,0.540988394
Punjab,Pathankot,2,156306,200000,1,78153,22,218,0.009101488,0.009101488,0.015625,0.504156191
Punjab,Patiala,2,1895686,200000,1,947843,22,219,0.112732253,0.112732253,0.015625,0.587060802
Punjab,Rajpura,1,1895686,200000,1,947843,22,235,0.112732253,0.112732253,0,0.590185802
Punjab,Rupnagar,1,753900,200000,1,376950,22,243,0.044705625,0.044705625,0,0.5357645
Punjab,Zirakpur,4,230000,200000,1,115000,22,303,0.013492113,0.013492113,0.046875,0.501418691
Punjab,ÃƒÂ‚Ã‚Â NawanshahrÃƒÂ‚Ã‚Â ,1,994628,200000,1,497314,22,306,0.059047992,0.059047992,0,0.547238394
Rajasthan,Ajmer,1,2583052,160000,1,1291526,23,7,0.153684928,0.153684928,0,0.622947942
Rajasthan,Banswara,1,2583052,160000,1,1291526,23,28,0.153684928,0.153684928,0,0.622947942
Rajasthan,Bhilwara,1,2408523,160000,1,1204261.5,23,47,0.14328664,0.14328664,0,0.614629312
Rajasthan,Bhiwadi,1,104883,160000,1,52441.5,23,48,0.00603775,0.00603775,0,0.5048302
Rajasthan,Bikaner,1,2363937,160000,1,1181968.5,23,53,0.140630245,0.140630245,0,0.612504196
Rajasthan,Chittorgarh,1,1544338,160000,1,772169,23,66,0.091799241,0.091799241,0,0.573439393
Rajasthan,Jaipur,19,6626178,160000,1,3313089,23,128,0.394570899,0.394570899,0.28125,0.759406719
Rajasthan,Jodhpur,6,3687165,160000,1,1843582.5,23,139,0.219467031,0.219467031,0.078125,0.659948625
Rajasthan,Kishangarh,1,154886,160000,1,77443,23,154,0.009016886,0.009016886,0,0.507213509
Rajasthan,Kota,2,1951014,160000,1,975507,23,162,0.116028648,0.116028648,0.015625,0.589697918
Rajasthan,Pali,1,2037573,160000,1,1018786.5,23,215,0.121185758,0.121185758,0,0.596948607
Rajasthan,Shri Ganganagar,1,1969168,160000,1,984584,23,261,0.117110247,0.117110247,0,0.593688198
Rajasthan,Udaipur,3,3068420,160000,1,1534210,23,284,0.182602736,0.182602736,0.03125,0.639832189
Rajasthan,hanumangarh,2,1544338,160000,1,772169,23,304,0.091799241,0.091799241,0.015625,0.570314393
Sikkim,Gangtok,2,148000,784970,1,74000,24,94,0.008606624,0.008606624,0.015625,0.503760299
Sikkim,Namchi,1,146850,784970,1,73425,24,199,0.008538108,0.008538108,0,0.506830486
Tamil Nadu,Chennai,21,4646732,403847,1,2323366,25,61,0.276637208,0.276637208,0.3125,0.658809766
Tamil Nadu,Coimbatore,7,1050721,403847,1,525360.5,25,68,0.062389965,0.062389965,0.09375,0.531161972
Tamil Nadu,Dharmapuri,1,68590,403847,1,34295,25,78,0.003875444,0.003875444,0,0.503100355
Tamil Nadu,Erode,1,156953,403847,1,78476.5,25,86,0.009140036,0.009140036,0,0.507312029
